Covariate,HR,LB,UB
NFE2L2,1.470634262507128,0.9559975158714056,2.262312504116177
NFE2L3,1.3258782413918748,0.5580200413354804,3.1503404551370466
NOTCH1,1.2284289174887846,0.8590983306019768,1.7565365355386882
NPM1,1.4887833393538716,0.8785237962581395,2.522954803248597
NRAS,1.0585502658929653,0.5981914936090865,1.8731939143125365
NSD1,1.0107952217441913,0.6010229032512096,1.699946831932702
PBRM1,0.9130787995046664,0.6533903952398754,1.275979720820363
PCBP1,4.31372615842463e-6,0,Inf
PDGFRA,1.1919271216053255,0.7610766226077221,1.8666849316046008
PHF6,1.0944756493211316,0.5411815929362916,2.2134473208107206
PIK3CA,0.9622072124875413,0.7625474917749228,1.2141443382208654
PIK3CG,0.6909265872707919,0.4012692997294598,1.1896737410998492
PIK3R1,1.128512002358998,0.7513156756863095,1.6950788871867557
POLQ,1.4906546787322092,0.9214584270077505,2.4114504855546084
PPP2R1A,0.31316683917364857,0.1400753731542498,0.7001478343378474
PRX,1.5007384818408904,0.7628349139038569,2.952429090263108
PTEN,0.932740998670888,0.7080691039543544,1.2287017831209455
PTPN11,1.3989859948168901,0.8001641223296434,2.4459504732549258
RAD21,0.23755336943851507,0.08488499044568913,0.6648007266690751
RB1,0.8211186714851819,0.563102769006083,1.1973584748156452
RPL22,3.6424536102806715,1.4142273829410439,9.381425125184267
RPL5,1.01391174802231,0.49498677070511776,2.076857592200348
RUNX1,1.862450472311132,1.1365024841460127,3.052102226083927
SETBP1,1.5404608739832564,0.9060937441895128,2.6189560622073254
SETD2,0.9940939226320035,0.6714905039581923,1.4716853346230068
SF3B1,1.1687925949397335,0.6419280630994904,2.1280828935721914
SIN3A,0.7430935670215991,0.31493324335165707,1.7533495145582525
SMAD2,1.059921321753411,0.42893391602438125,2.619128882882836
SMAD4,0.9397542619780449,0.4539849337211734,1.9453026021526567
SMC1A,0.9923295091673546,0.5779648421968275,1.703767743071428
SMC3,0.7966501215880909,0.44314743271079476,1.4321450817035513
SOX17,1.1740183449751518,0.15633784388592817,8.816285552357266
SOX9,1.6894492993125325,0.8197648141145379,3.4817778048092847
SPOP,0.9216511134331639,0.2807176914496002,3.025960959233304
STAG2,1.2533647439032385,0.8093072426945814,1.9410714477597601
STK11,1.978498847100458,0.9828115182693726,3.9829180012773846
TAF1,1.1124410742439579,0.6947306201914396,1.7813021445982027
TBL1XR1,0.5495170311834533,0.21488066064730696,1.4052868538798438
