Covariate,Beta,HR,p.val,LB,UB,logLB,logUB
EGR3,-1.9321348392787423,0.1448386609322844,0.07326943000632805,0.017485683377891824,1.1997379368759051,-4.046372825565013,0.18210314700752786
EIF4A2,-0.13150127726850847,0.8767781552559549,0.7750264685577352,0.35583327620189503,2.1603936026990986,-1.0332929831042152,0.7702904285671984
ELF3,-0.24104879368405938,0.7858032832157668,0.6517216371979615,0.275893532558426,2.238134378093525,-1.2877402392861805,0.8056426519180618
EP300,-0.15988319465373144,0.8522433297298857,0.525850537370304,0.5200266271009628,1.3966951983173517,-0.6538752627542546,0.3341088734467919
EPHA3,-0.4901527687487534,0.6125328111651855,0.1093100531758326,0.33618600378250735,1.1160382661160844,-1.0900906895032685,0.10978515200576161
EPHB6,0.1654834843117156,1.1799634746495966,0.5570674583357701,0.6791815656706787,2.0499876202209144,-0.38686678559202414,0.7178337542154554
EPPK1,0.3799449842587946,1.4622041429766146,0.13831339964262687,0.8847033811564098,2.4166754657852767,-0.1225028526888534,0.8823928212064425
ERBB4,0.1440146294306757,1.1549010039455025,0.6475550040723449,0.6228736215937537,2.1413594711259893,-0.4734116353571231,0.7614408942184746
ERCC2,-2.4310696284815423,0.08794271622256045,0.025423768993373282,0.010430005733029562,0.7415069113634472,-4.563068460302343,-0.2990707966607414
EZH2,0.8193803609645395,2.2690933829951314,0.017076089771213793,1.1572447748309533,4.449175224406961,0.1460419857589314,1.4927187361701475
FBXW7,0.4705295567597033,1.6008417053409458,0.030278834842412665,1.0458619099085615,2.450317906484386,0.044841339631850656,0.8962177738875561
FGFR2,0.3871053261983857,1.4727115982185384,0.2688840963196296,0.7414723960435631,2.925098038848604,-0.299117345280426,1.0733279976771974
FGFR3,-0.26826996673081727,0.764701309321333,0.4828734190409682,0.3614597728256754,1.6177957726980106,-1.0176045220657528,0.4810645886041182
FLT3,0.22404265556490702,1.251124385707611,0.29980952559685353,0.8191649122586687,1.9108633745020156,-0.1994698573296901,0.6475551684595041
FOXA1,0.5963150390849861,1.8154167198648767,0.19623715116402193,0.7348768991216489,4.484748222054785,-0.3080522779845761,1.5006823561545484
FOXA2,-0.6895631322247814,0.5017952393581845,0.5006072753087665,0.06746341859088693,3.7323703349440245,-2.696169774811575,1.3170435103620122
GATA3,0.08865249464215912,1.0927008709342558,0.7579662693479973,0.6217543921120707,1.9203647107092159,-0.47521013221087455,0.6525151214951928
H3F3C,1.0751332248386372,2.930383274368251,0.053738482637341045,0.9828560404481542,8.736931739038507,-0.017292618747742437,2.1675590684250166
HGF,-0.3357526213089072,0.7147999102125172,0.3112773973794624,0.37319196043002434,1.3691048195440072,-0.9856623524970837,0.3141571098792695
HIST1H1C,1.243529582438301,3.46783188764216,3.5510475738722457e-4,1.752571038528797,6.86183768678669,0.561083874642182,1.92597529023442
